Category,LA-NYC,LA-HOU,LA-CHI,NYC-HOU,NYC-CHI,HOU-CHI,mean,sd,median,max,min
institute,17.503,4.243,28.826,36.067,7.643,36.169,21.742,14.046,23.16441822052,36.169017791748,4.2431683540344
housekeepings,10.382,27.009,2.048,33.793,4.143,27.028,17.401,13.524,18.6959862709045,33.792972564697,2.047625541687
family.restaurant,22.236,20.099,2.589,44.329,22.741,16.102,21.349,13.505,21.167390823364,44.329265594482,2.5886487960815
beauty.salon,25.326,5.365,0.811,29.923,22.757,1.083,14.211,13.218,14.0609619617462,29.923080444336,0.81116133928299
mediterranean.restaurant,25.044,3.101,5.271,28.186,29.203,2.639,15.574,13.142,15.1570379734039,29.202751159668,2.6386229991913
studio,14.574,19.05,2.539,42.622,17.855,20.968,19.601,13.051,18.45263004303,42.622444152832,2.5391221046448
hair.salon,28.718,3.129,2.79,27.746,24.284,5.673,15.39,12.751,14.9782438278199,28.71848487854,2.7900116443634
fabric.cleaning,13.106,21.703,3.182,35.927,8.635,27.994,18.425,12.37,17.4045400619505,35.92724609375,3.1823809146881
dry.cleaner,2.065,9.362,12.31,25.108,29.888,1.687,13.403,11.765,10.8359370231628,29.887714385986,1.6872602701187
general.services,3.843,16.043,1.843,31.392,6.478,21.7,13.55,11.595,11.2606105804445,31.391731262207,1.8426702022552
wine,25.637,5.129,2.349,30.557,17.381,10.904,15.326,11.265,14.1422214508055,30.557100296021,2.3492801189423
lunch.restaurant,27.063,0.909,18.752,30.12,8.427,21.453,17.787,11.18,20.102871894836,30.119649887085,0.90924602746964
centres,5.22,16.374,10.316,27.604,1.415,27.328,14.71,11.085,13.3452734947205,27.604406356811,1.4154217243195
training.courses,11.457,6.796,17.095,26.28,1.967,29.986,15.597,10.989,14.2757959365845,29.985843658447,1.9667842388153
western.food,21.564,2.015,8.961,30.523,12.161,10.837,14.344,10.119,11.499047279358,30.523498535156,2.0151526927948
hobby.classes,11.544,2.526,15.647,21.002,2.718,27.431,13.478,9.954,13.5952835083005,27.431413650513,2.5264391899109
vegetarian.restaurant,9.805,9.576,1.403,29.375,7.037,18.859,12.676,9.938,9.69064331054685,29.37451171875,1.4033318758011
martial.arts.school,11.82,6.254,14.197,23.196,3.576,29.169,14.702,9.85,13.0087900161745,29.168649673462,3.5763394832611
relaxation,17.229,0.64,0.869,25.264,11.023,5.027,10.008,9.819,8.0248153209684,25.264343261719,0.639663875103
chicken.wings.restaurant,21.096,0.681,2.546,21.379,14.728,5.5,10.988,9.292,10.1136779785156,21.378522872925,0.68134421110153
asian.fusion.restaurant,18.265,10.711,6.116,32.685,12.483,14.303,15.761,9.21,13.3934383392335,32.68518447876,6.1160645484924
hamburger.restaurant,17.976,1.337,0.107,20.181,15.736,4.027,9.894,9.041,9.8816111087798,20.181123733521,0.10739390552044
lounge,1.026,16.792,1.661,21.962,2.224,12.422,9.348,8.978,7.32311081886295,21.961622238159,1.0263078212738
yan.cao,16.67,6,4.745,21.375,19.126,0.437,11.392,8.725,11.3352031707765,21.375490188599,0.43716418743134
facility.contractor,7.772,12.434,2.516,26.875,6.272,14.914,11.797,8.606,10.1029400825502,26.875476837158,2.516116142273
latin.american.restaurant,21.404,3.989,3.414,19.01,17.121,4.423,11.56,8.461,10.7716813087464,21.404384613037,3.4136726856232
restaurant,1.801,14.113,0.31,23.268,11.291,11.819,10.434,8.461,11.555076122284,23.267606735229,0.3104709982872
american.restaurant,16.474,3.134,2.815,23.936,6.838,11.686,10.814,8.292,9.2616615295408,23.936239242554,2.8152329921722
barbecue.restaurant,16.768,14.199,6.032,30.13,15.661,17.704,16.749,7.778,16.2147431373595,30.129583358765,6.0318965911865
dental.clinic,16.562,6.474,2.119,8.785,21.797,4.975,10.118,7.529,7.6294393539429,21.796737670898,2.1188745498657
seafood.restaurant,15.608,4.372,8.844,21.146,24.007,11.601,14.263,7.462,13.6046605110165,24.006694793701,4.371527671814
mexican.restaurant,11.308,0.897,0.671,16.82,15.201,2.645,7.924,7.395,6.9765454530715,16.820495605469,0.67139607667923
wine.bar,4.077,16.413,5.467,23.859,9.979,10.661,11.743,7.363,10.3202328681947,23.85945892334,4.0769791603088
spa,9.884,8.681,2.815,23.991,12.195,7.856,10.904,7.123,9.28246116638185,23.991394042969,2.8147435188294
yoga.studio,6.876,9.522,3.397,20.591,4.007,16.563,10.159,6.994,8.19867968559265,20.591062545776,3.3967342376709
delivery.service,13.506,1.979,15.779,19.139,4.009,13.769,11.364,6.819,13.6377453804015,19.138738632202,1.9789546728134
